type,Aggressive,Non Aggressive
Reptile,14,28
Green,24,20
Nordic,11,12
Reptile,16,23
Nordic,12,16
Flatwoods,12,20
Nordic,15,21
Reptile,18,15
Green,22,14
Reptile,20,11
Flatwoods,17,15
Nordic,13,10
Flatwoods,16,17
Nordic,15,19
Grey,17,17
Grey,16,16
Grey,28,12
Flatwoods,14,13
Nordic,14,17
Reptile,16,19
Nordic,15,20
Flatwoods,16,20
Reptile,15,16
Reptile,16,15
Grey,23,21
Reptile,20,21
Green,17,15
Reptile,22,17
Nordic,11,21
Reptile,17,20
Grey,10,15
Grey,19,17
Reptile,16,11
Green,23,24
Reptile,13,13
Flatwoods,20,18
Flatwoods,12,16
Flatwoods,12,17
Nordic,15,23
Nordic,22,18
Reptile,15,8
Grey,12,14
Reptile,27,24
Grey,15,18
Nordic,11,12
Grey,14,21
Reptile,13,20
Nordic,17,14
Grey,19,29
Flatwoods,16,14
Reptile,15,18
Grey,16,24
Reptile,18,13
Flatwoods,18,11
Nordic,8,15
Reptile,11,15
Nordic,18,18
Reptile,15,19
Grey,15,13
Flatwoods,20,12
Reptile,16,20
Nordic,17,16
Green,12,16
Reptile,17,22
Green,17,14
Green,12,17
Nordic,17,15
Green,16,12
Flatwoods,13,19
Nordic,19,10
Green,16,19
Grey,11,18
Reptile,14,14
Reptile,20,18
Flatwoods,18,24
Flatwoods,10,13
Nordic,15,15
Reptile,16,20
Grey,23,14
Nordic,11,18
Grey,16,17
Reptile,15,16
Nordic,17,18
Grey,18,14
Reptile,21,11
Grey,24,18
Nordic,17,13
Flatwoods,20,18
Nordic,11,15
Reptile,20,11
Grey,22,11
Nordic,13,18
Nordic,19,14
Flatwoods,18,19
Green,14,17
Flatwoods,21,14
Nordic,19,25
Reptile,11,16
Nordic,19,19
Flatwoods,18,20
Reptile,15,22
Reptile,13,16
Reptile,18,12
Nordic,17,19
Nordic,16,16
Nordic,18,16
Nordic,15,11
Nordic,19,14
Flatwoods,18,21
Reptile,20,18
Nordic,20,23
Nordic,17,19
Reptile,17,11
Nordic,16,19
Grey,14,17
Flatwoods,15,13
Grey,9,26
Flatwoods,15,20
Flatwoods,19,13
Green,15,21
Nordic,20,15
Reptile,13,25
Grey,19,16
Nordic,13,13
Grey,21,16
Nordic,14,23
Green,19,16
Flatwoods,15,16
Green,8,9
Nordic,19,17
Green,15,21
Grey,16,21
Nordic,11,24
Reptile,16,18
Green,18,20
Grey,21,14
Green,16,18
Flatwoods,15,24
Green,19,23
Flatwoods,15,14
Reptile,12,15
Reptile,12,15
Flatwoods,9,15
Flatwoods,19,17
Reptile,17,22
Nordic,14,15
Nordic,19,22
Grey,16,24
Nordic,15,22
Reptile,15,20
Nordic,16,19
Green,17,25
Nordic,11,23
Green,22,13
Nordic,17,13
Reptile,15,22
Grey,22,16
Reptile,8,18
Nordic,13,25
Green,14,16
Flatwoods,13,15
Flatwoods,17,14
Grey,17,14
Flatwoods,20,16
Grey,10,18
Reptile,7,19
Green,16,17
Green,16,19
Flatwoods,14,27
Grey,14,20
Green,17,8
Flatwoods,11,14
Nordic,19,20
Nordic,18,16
Flatwoods,14,13
Green,13,18
Flatwoods,14,14
Green,18,16
Grey,13,23
Reptile,29,15
Flatwoods,20,19
Flatwoods,17,18
Reptile,16,18
Green,11,20
Flatwoods,12,12
Reptile,9,22
Reptile,18,10
Grey,14,23
Reptile,17,15
Green,18,12
Flatwoods,20,13
Flatwoods,16,26
Flatwoods,21,13
Nordic,18,10
Flatwoods,17,18
Flatwoods,22,22
Reptile,17,17
Nordic,9,17
Nordic,12,10
Green,14,18
Nordic,14,21
Grey,18,12
Flatwoods,12,17
Flatwoods,13,16
Green,17,14
Reptile,15,17
Reptile,17,23
Reptile,20,18
Green,21,15
Grey,17,15
Reptile,9,15
Reptile,21,24
Reptile,22,14
Nordic,27,13
Green,18,20
Nordic,24,15
Green,22,16
Flatwoods,15,23
Flatwoods,18,15
Grey,16,16
Nordic,16,16
Flatwoods,19,22
Green,12,16
Flatwoods,15,18
Green,17,14
Flatwoods,18,20
Green,18,17
Nordic,12,12
Flatwoods,24,22
Reptile,8,15
Flatwoods,18,11
Green,10,17
Reptile,17,7
Reptile,18,20
Green,13,16
Reptile,15,14
Flatwoods,13,14
Nordic,21,21
Flatwoods,22,22
Grey,15,12
Green,18,18
Reptile,18,13
Flatwoods,15,13
Flatwoods,16,6
Green,12,7
Nordic,13,22
Flatwoods,15,14
Flatwoods,17,14
Green,16,15
Flatwoods,18,18
Green,19,18
Nordic,19,15
Nordic,19,11
Green,14,15
Green,18,16
Reptile,10,9
Flatwoods,18,19
Flatwoods,10,17
Nordic,15,21
Flatwoods,22,13
Flatwoods,17,13
Grey,19,15
Green,11,15
Green,13,15
Flatwoods,18,27
Flatwoods,21,23
Flatwoods,19,15
Nordic,20,18
Green,15,25
Grey,23,14
Reptile,16,21
Reptile,15,15
Flatwoods,18,12
Grey,12,7
Flatwoods,23,15
Flatwoods,18,13
Nordic,21,17
Grey,14,20
Reptile,17,18
Flatwoods,16,18
Green,18,21
Flatwoods,18,14
Reptile,12,12
Reptile,20,12
Nordic,16,14
Grey,17,24
Reptile,14,21
Green,17,19
Flatwoods,11,25
Flatwoods,24,18
Flatwoods,12,17
Flatwoods,14,8
Green,12,12
Flatwoods,15,23
Grey,16,13
Reptile,18,16
Green,14,19
Grey,13,14
Nordic,11,19
Green,21,15
Flatwoods,14,11
Grey,19,15
Reptile,17,21
Nordic,20,22
Grey,19,15
Grey,22,19
Grey,21,17
Green,13,15
Reptile,22,11
Nordic,18,16
Grey,13,12
Nordic,8,15
Green,21,14
Grey,20,11
Nordic,15,18
Nordic,15,15
Green,20,22
Reptile,22,14
Reptile,16,21
Flatwoods,15,15
Reptile,16,21
Flatwoods,15,14
Flatwoods,14,15
Green,17,13
Flatwoods,22,19
Flatwoods,13,18
Grey,14,18
Flatwoods,20,16
Grey,19,12
Nordic,15,22
Green,20,13
Reptile,17,17
Green,13,14
Reptile,12,22
Reptile,14,18
Flatwoods,16,17
Reptile,13,13
Grey,11,11
Green,16,21
Flatwoods,16,25
Green,11,18
Grey,15,11
Reptile,12,17
Nordic,21,19
Flatwoods,9,22
Grey,16,18
Green,24,15
Reptile,20,16
Nordic,15,15
Green,16,16
Nordic,14,19
Nordic,19,15
Grey,16,14
Grey,14,14
Flatwoods,25,10
Nordic,9,12
Green,23,7
Nordic,23,17
Flatwoods,12,10
Grey,16,25
Green,15,17
Nordic,22,23
Reptile,20,16
Reptile,13,21
Nordic,15,10
Nordic,14,11
Grey,18,12
Flatwoods,24,20
Flatwoods,21,12
Flatwoods,17,20
Flatwoods,12,12
Grey,17,15
Flatwoods,20,22
Nordic,11,17
Flatwoods,10,13
Nordic,9,16
Reptile,18,18
Flatwoods,16,16
Nordic,13,16
Green,13,13
Grey,18,12
Grey,24,21
Nordic,12,16
Nordic,21,13
Green,17,23
Nordic,26,19
Reptile,20,17
Nordic,16,11
Flatwoods,16,13
Grey,13,18
Green,19,23
Flatwoods,12,20
Nordic,10,15
Green,15,14
Nordic,15,10
Flatwoods,20,25
Flatwoods,13,19
Grey,15,22
Nordic,24,25
Grey,12,18
Nordic,22,11
Reptile,12,22
Green,15,14
Green,17,16
Grey,14,22
Reptile,13,11
Flatwoods,20,23
Flatwoods,16,18
Nordic,25,15
Green,20,19
Flatwoods,19,19
Grey,11,18
Green,15,14
Flatwoods,14,15
Nordic,21,10
Grey,13,20
Flatwoods,16,23
Nordic,12,12
Flatwoods,13,14
Grey,10,16
Green,9,11
Flatwoods,14,14
Flatwoods,18,15
Nordic,29,12
Grey,13,16
Nordic,22,21
Flatwoods,16,18
Grey,15,9
Grey,15,13
Nordic,25,13
Nordic,15,15
Grey,12,18
Flatwoods,17,19
Green,14,17
Grey,13,15
Flatwoods,19,13
Nordic,19,18
Green,20,15
Grey,12,15
Nordic,19,11
Nordic,16,17
Flatwoods,18,23
Grey,12,23
Grey,16,15
Green,18,15
Reptile,19,16
Reptile,16,16
Green,15,21
Flatwoods,26,9
Nordic,15,13
Flatwoods,14,14
Flatwoods,17,16
Flatwoods,17,17
Reptile,18,16
Grey,16,21
Grey,19,15
Reptile,15,19
Nordic,21,17
Reptile,16,18
Nordic,19,20
Flatwoods,15,9
Nordic,17,15
Green,18,18
Grey,18,23
Flatwoods,19,17
Nordic,14,19
Grey,14,19
Reptile,21,20
Grey,18,18
Nordic,15,14
Reptile,22,21
Grey,20,20
Green,17,10
Grey,21,15
Reptile,10,14
Reptile,23,15
Flatwoods,16,15
Nordic,16,20
Flatwoods,11,19
Reptile,14,17
Grey,9,23
Nordic,6,11
Green,12,21
Green,17,15
Reptile,15,21
Flatwoods,14,22
Nordic,20,13
Green,18,24
Grey,20,12
Grey,19,14
Flatwoods,15,10
Grey,15,12
Nordic,15,27
Nordic,24,18
Reptile,20,18
Green,20,14
Nordic,28,26
Grey,25,8
Nordic,11,18
Green,12,15
Reptile,20,21
Nordic,22,20
Flatwoods,21,23
Flatwoods,21,11
Grey,13,16
Nordic,15,22
Nordic,13,19
Flatwoods,22,17
Flatwoods,10,16
Nordic,27,21
Flatwoods,18,24
Green,18,21
Grey,19,11
Reptile,13,21
Flatwoods,27,19
Grey,23,20
Reptile,15,20
Reptile,12,26
Grey,13,17
Reptile,16,22
Green,13,21
Green,20,19
Green,22,16
Nordic,12,13
Grey,10,20
Reptile,14,11
Reptile,20,18
Flatwoods,17,14
Green,17,19
Nordic,19,16
Flatwoods,12,22
Grey,14,22
Reptile,12,18
Green,16,18
Grey,12,21
Reptile,22,20
Nordic,15,14
Nordic,23,16
Reptile,14,26
Grey,12,8
Grey,20,20
Grey,18,19
Green,6,20
Green,15,16
Green,18,18
Flatwoods,23,12
Green,20,21
Nordic,15,22
Flatwoods,14,19
Reptile,21,14
Reptile,13,16
Green,13,17
Nordic,16,21
Green,18,26
Green,15,13
Nordic,24,21
Flatwoods,16,17
Grey,21,9
Green,12,18
Grey,20,18
Flatwoods,21,20
Green,18,18
Reptile,16,23
Nordic,12,17
Flatwoods,10,6
Grey,17,17
Green,14,18
Grey,9,27
Nordic,17,19
Nordic,16,11
Flatwoods,24,24
Nordic,12,18
Reptile,27,12
Green,15,16
Grey,13,17
Nordic,17,15
Reptile,18,12
Flatwoods,14,19
Green,14,15
Nordic,22,17
Flatwoods,17,17
Flatwoods,13,10
Flatwoods,12,19
Green,14,10
Nordic,17,14
Reptile,15,22
Flatwoods,14,14
Reptile,20,24
Green,18,19
Green,15,27
Nordic,19,19
Nordic,20,14
Green,20,22
Flatwoods,20,18
Nordic,15,14
Flatwoods,17,18
Grey,17,16
Reptile,16,10
Flatwoods,13,11
Flatwoods,24,11
Green,16,14
Grey,10,13
Flatwoods,22,21
Green,19,13
Green,15,22
Nordic,19,8
Green,16,12
Green,19,18
Reptile,24,12
Green,14,15
Nordic,23,26
Reptile,17,15
Flatwoods,12,17
Grey,9,17
Flatwoods,22,13
Green,9,19
Grey,21,17
Nordic,14,10
Grey,16,13
Reptile,16,10
Nordic,12,17
Grey,14,18
Reptile,19,17
Nordic,21,20
Reptile,15,22
Grey,14,17
Flatwoods,12,15
Reptile,16,18
Green,20,20
Reptile,18,15
Green,19,11
Grey,19,17
Flatwoods,15,20
Flatwoods,10,16
Nordic,17,16
Flatwoods,13,14
Nordic,15,18
Grey,15,18
Green,30,15
Grey,18,13
Green,14,15
Green,23,21
Green,20,16
Grey,19,15
Reptile,18,16
Green,16,20
Nordic,9,24
Reptile,21,12
Grey,13,20
Green,20,18
Flatwoods,15,19
Grey,19,31
Reptile,20,15
Green,21,20
Nordic,15,12
Nordic,13,14
Green,19,17
Reptile,20,15
Green,17,11
Flatwoods,23,20
Reptile,17,23
Grey,18,18
Reptile,18,16
Reptile,11,12
Reptile,27,25
Green,16,11
Flatwoods,15,18
Reptile,22,14
Flatwoods,17,23
Nordic,15,17
Grey,15,15
Flatwoods,12,11
Reptile,19,21
Nordic,20,11
Grey,21,19
Grey,14,21
Reptile,19,16
Green,18,17
Green,19,12
Grey,18,22
Flatwoods,14,14
Green,19,15
Nordic,14,12
Flatwoods,24,15
Nordic,13,11
Grey,26,16
Nordic,17,13
Reptile,21,19
Grey,11,15
Nordic,10,13
Green,19,12
Grey,19,13
Grey,17,12
Flatwoods,14,17
Flatwoods,20,19
Reptile,19,16
Green,12,27
Flatwoods,17,17
Green,14,20
Green,22,21
Nordic,16,14
Green,14,24
Nordic,24,15
Grey,18,16
Nordic,18,18
Reptile,9,21
Nordic,,
Flatwoods,,
Grey,,
Nordic,,
Green,,
Nordic,,
Green,,
Grey,,
Green,,
Grey,,
Nordic,,
Reptile,,
Flatwoods,,
Flatwoods,,
Green,,
Green,,
Green,,
Flatwoods,,
Grey,,
Grey,,
Reptile,,
Grey,,
Green,,
Flatwoods,,
Green,,
Reptile,,
Flatwoods,,
Green,,
Nordic,,
Green,,
Flatwoods,,
Flatwoods,,
Flatwoods,,
Nordic,,
Flatwoods,,
Green,,
Grey,,
Reptile,,
Grey,,
Green,,
Flatwoods,,
Green,,
Nordic,,
Grey,,
Grey,,
Grey,,
Nordic,,
Reptile,,
Grey,,
Reptile,,
Reptile,,
Flatwoods,,
Grey,,
Flatwoods,,
Green,,
Flatwoods,,
Flatwoods,,
Nordic,,
Nordic,,
Flatwoods,,
Nordic,,
Flatwoods,,
Grey,,
Green,,
Reptile,,
Grey,,
Green,,
Reptile,,
Grey,,
Flatwoods,,
Green,,
Grey,,
Nordic,,
Reptile,,
Grey,,
Reptile,,
Nordic,,
Grey,,
Nordic,,
Nordic,,
Nordic,,
Grey,,
Green,,
Nordic,,
Flatwoods,,
Nordic,,
Nordic,,
Flatwoods,,
Green,,
Flatwoods,,
Green,,
Green,,
Flatwoods,,
Grey,,
Reptile,,
Flatwoods,,
Reptile,,
Grey,,
Reptile,,
Flatwoods,,
Reptile,,
Grey,,
Flatwoods,,
Flatwoods,,
